date,month_label,provider,country_iso3,order_payment_type,payment_method,card_brand,gender,offer,orders_count,total_payout_usd
2025-10-01,Oct 2025,Raz,IND,first,card,MASTERCARD,male,2828,544,10433.5285
2025-10-01,Oct 2025,Sol,FRA,recurring,apple_pay,VISA,male,2828,196,10362.80788
2025-10-01,Oct 2025,Che,USA,upsell,card,AMEX,male,No offer,175,9867.94487
2025-10-01,Oct 2025,PP,DEU,first,APM,Unknown,male,2828,377,9632.966008
2025-10-01,Oct 2025,Ad,ARE,recurring,apple_pay,VISA,male,2828,244,9607.56
2025-10-01,Oct 2025,Ad,USA,recurring,card,VISA,male,2828,246,9527.57
2025-10-01,Oct 2025,Che,USA,recurring,card,VISA,male,2828,280,9446.778403
2025-10-01,Oct 2025,PP,CAN,upsell,APM,Unknown,male,No offer,202,9415.252896
2025-10-01,Oct 2025,Ad,AUS,recurring,apple_pay,VISA,male,8484,111,9348.92
2025-10-01,Oct 2025,Sol,CAN,upsell,card,VISA,male,No offer,170,9105.203331
2025-10-01,Oct 2025,Che,USA,first,card,VISA,male,2828,537,9098.84952
2025-10-01,Oct 2025,Nuv,ESP,recurring,apple_pay,VISA,male,2828,191,8945.435024
2025-10-01,Oct 2025,Eb,PER,recurring,card,VISA,male,2828,234,8910.843587
2025-10-01,Oct 2025,Sol,BRA,recurring,apple_pay,MASTERCARD,male,2828,219,8735.291865
2025-10-01,Oct 2025,Sol,AUS,recurring,card,MASTERCARD,male,8484,102,8580.76
2025-10-01,Oct 2025,Ad,GBR,recurring,apple_pay,AMEX,male,2828,156,8527.638651
2025-10-01,Oct 2025,Ad,USA,first,card,VISA,male,2828,425,8451.76
2025-10-01,Oct 2025,Sol,USA,first,card,VISA,male,2828,420,8439.8
2025-10-01,Oct 2025,Sol,CAN,recurring,card,MASTERCARD,male,8484,105,8394.96
2025-10-01,Oct 2025,Sol,PHL,recurring,card,MASTERCARD,male,2828,222,8337.79
2025-10-01,Oct 2025,PP,DEU,first,APM,Unknown,male,8484,161,8194.776276
2025-10-01,Oct 2025,Che,PER,recurring,card,VISA,male,2828,241,8091.086969
2025-10-01,Oct 2025,Ad,USA,recurring,apple_pay,AMEX,male,8484,100,7999.0
2025-10-01,Oct 2025,Pay,AUS,recurring,apple_pay,MASTERCARD,male,8484,94,7809.09
2025-10-01,Oct 2025,Ad,USA,first,card,VISA,male,8484,195,7670.07
2025-10-01,Oct 2025,Che,USA,upsell,apple_pay,VISA,male,No offer,155,7452.077244
2025-10-01,Oct 2025,Eb,BRA,upsell,card,MASTERCARD,male,No offer,147,7349.636739
2025-10-01,Oct 2025,Sol,USA,first,card,VISA,male,8484,186,7326.14
2025-10-01,Oct 2025,Nuv,GBR,first,apple_pay,VISA,male,8484,134,7309.372374
2025-10-01,Oct 2025,Sol,CAN,recurring,apple_pay,MASTERCARD,male,2828,174,7297.276171
2025-10-01,Oct 2025,PP,USA,recurring,APM,Unknown,female,8484,109,7272.368212
2025-10-01,Oct 2025,Nuv,IND,recurring,card,VISA,male,2828,199,7138.375007
2025-10-01,Oct 2025,PP,GBR,upsell,APM,Unknown,male,No offer,109,6989.87298
2025-10-01,Oct 2025,Che,ARG,recurring,card,VISA,male,2828,203,6908.942229
2025-10-01,Oct 2025,Ad,GBR,recurring,apple_pay,MASTERCARD,male,8484,60,6871.266338
2025-10-01,Oct 2025,Che,USA,first,card,AMEX,male,8484,178,6868.383779
2025-10-01,Oct 2025,Nuv,MEX,upsell,card,VISA,male,No offer,177,6817.472184
2025-10-01,Oct 2025,Sol,CHE,recurring,card,MASTERCARD,male,2828,179,6779.83
2025-10-01,Oct 2025,Sol,AUS,recurring,apple_pay,MASTERCARD,male,2828,164,6757.39
2025-10-01,Oct 2025,Che,USA,first,card,VISA,male,8484,202,6680.030691
2025-10-01,Oct 2025,PP,FRA,upsell,APM,Unknown,male,No offer,127,6676.986736
2025-10-01,Oct 2025,Che,USA,first,card,AMEX,male,2828,334,6591.926725
2025-10-01,Oct 2025,Nuv,PER,recurring,card,VISA,male,2828,195,6547.676428
2025-10-01,Oct 2025,Eb,PER,first,card,VISA,male,2828,302,6415.538949
2025-10-01,Oct 2025,Sol,ZAF,upsell,card,VISA,male,No offer,111,6403.128452
2025-10-01,Oct 2025,Nuv,IND,upsell,card,MASTERCARD,male,No offer,142,6379.828165
2025-10-01,Oct 2025,Eb,BRA,first,card,MASTERCARD,male,2828,304,6295.705909
2025-10-01,Oct 2025,Nuv,COL,recurring,card,MASTERCARD,male,2828,205,6208.2
2025-10-01,Oct 2025,Ad,ITA,recurring,apple_pay,MASTERCARD,male,2828,128,6169.130183
2025-10-01,Oct 2025,Sol,USA,recurring,apple_pay,VISA,male,8484,77,6099.23
2025-10-01,Oct 2025,PP,CHE,recurring,APM,Unknown,male,2828,173,6058.529062
2025-10-01,Oct 2025,Ad,SAU,recurring,apple_pay,VISA,male,2828,158,5998.43
2025-10-01,Oct 2025,Ad,DEU,recurring,apple_pay,MASTERCARD,male,2828,121,5987.247071
2025-10-01,Oct 2025,PP,AUT,recurring,APM,Unknown,male,2828,135,5945.184336
2025-10-01,Oct 2025,Ad,GBR,first,apple_pay,MASTERCARD,male,2828,195,5939.922304
2025-10-01,Oct 2025,Sol,ZAF,recurring,card,MASTERCARD,male,2828,172,5916.427228
2025-10-01,Oct 2025,PP,AUS,first,APM,Unknown,male,8484,152,5890.239905
2025-10-01,Oct 2025,Nuv,CAN,recurring,apple_pay,VISA,male,2828,139,5873.470964
2025-10-01,Oct 2025,Sol,USA,recurring,card,MASTERCARD,male,2828,151,5778.5
2025-10-01,Oct 2025,Nuv,GBR,recurring,apple_pay,VISA,male,728,111,5774.064433
2025-10-01,Oct 2025,Sol,CAN,recurring,apple_pay,VISA,male,2828,133,5755.922376
2025-10-01,Oct 2025,PP,MEX,first,APM,Unknown,male,2828,326,5738.456777
2025-10-01,Oct 2025,Che,USA,first,apple_pay,VISA,male,2828,332,5712.896607
